id,status,ticker,direction,contract_symbol,expiry,filled_at,closed_at,playbook,record_class,backfill_audit_id,proof_class,ticker_bucket,pnl_pct,pnl_field,entry_execution_price,entry_execution_basis,exit_execution_price,exit_execution_basis,last_recommendation,last_recommendation_reason,review_count,first_negative_reviewed_at,has_executable_sell_review,best_executable_net_pnl_pct,scan_date,ev_pct,direction_score,quality_score,tech_score,ret5,rsi14,spy_ret5,debit_pct_of_width,root_cause_hint
273,closed,WMT,call,WMT260529C00133000,2026-05-29,2026-05-19T08:10:00-06:00,2026-05-21T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-100.0,net_pnl_pct,3.091,spread_ask_bid,0.0,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -100.0%.,0,,False,,2026-05-19,41.95,81.0,56.7,95.4126,4.5066,50.4126,-0.0879,51.5167,research_backfill_not_live_proof
275,closed,WMT,call,WMT260529C00133000,2026-05-29,2026-05-20T08:10:00-06:00,2026-05-21T13:55:00-06:00,short_term,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-99.4552,net_pnl_pct,1.8095,spread_ask_bid,0.01,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -99.4%.,0,,False,,2026-05-20,35.395,74.1,63.8,96.7871,2.9536,51.7871,-0.6028,36.19,research_backfill_not_live_proof
283,closed,AA,call,AA260501C00075000,2026-05-01,2026-04-09T08:10:00-06:00,2026-04-22T13:55:00-06:00,swing,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-91.8022,net_pnl_pct,3.7555,spread_ask_bid,0.31,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -91.7%.,0,,False,,2026-04-09,56.2,96.0,68.0,92.6474,8.1863,62.3526,3.9472,53.65,research_backfill_not_live_proof
284,closed,NFLX,call,NFLX260424C00101000,2026-04-24,2026-04-09T08:10:00-06:00,2026-04-17T13:55:00-06:00,swing,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-84.7725,net_pnl_pct,2.6665,spread_ask_bid,0.41,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-04-09,51.83,91.4,71.3,93.228,3.3697,48.228,3.9472,29.6278,research_backfill_not_live_proof
285,closed,NFLX,call,NFLX260501C00105000,2026-05-01,2026-04-10T08:10:00-06:00,2026-04-20T13:55:00-06:00,swing,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-100.0,net_pnl_pct,2.3855,spread_ask_bid,0.0,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -100.0%.,0,,False,,2026-04-10,56.77,96.6,72.3,93.7425,6.8027,48.7425,3.765,23.855,research_backfill_not_live_proof
286,closed,SLB,call,SLB260501C00053000,2026-05-01,2026-04-10T08:10:00-06:00,2026-04-22T13:55:00-06:00,swing,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-33.3986,net_pnl_pct,2.5265,spread_ask_bid,1.7,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-04-10,49.265,88.7,64.2,79.4497,5.017,55.5503,3.765,50.53,research_backfill_not_live_proof
288,closed,NFLX,call,NFLX260501C00104000,2026-05-01,2026-04-13T08:10:00-06:00,2026-04-17T13:55:00-06:00,swing,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-90.1138,net_pnl_pct,3.312,spread_ask_bid,0.33,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -90.0%.,0,,False,,2026-04-13,55.44,95.2,72.6,94.4308,4.4091,60.5692,3.6031,33.12,research_backfill_not_live_proof
292,closed,NFLX,call,NFLX260508C00104000,2026-05-08,2026-04-14T08:10:00-06:00,2026-04-20T13:55:00-06:00,swing,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-91.7113,net_pnl_pct,2.8695,spread_ask_bid,0.24,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -91.6%.,0,,False,,2026-04-14,54.3,94.0,87.5,92.9787,4.2758,62.0213,4.1234,47.825,research_backfill_not_live_proof
300,closed,NFLX,call,NFLX260501C00106000,2026-05-01,2026-04-15T08:10:00-06:00,2026-04-17T13:55:00-06:00,swing,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-94.0719,net_pnl_pct,2.673,spread_ask_bid,0.16,historical_spread_bid_ask,SELL,Historical executable exit hit the stop loss at -94.0%.,0,,False,,2026-04-15,57.53,97.4,85.5,95.3602,7.5491,59.6398,5.3457,44.55,research_backfill_not_live_proof
317,closed,IWM,call,IWM260508C00275000,2026-05-08,2026-04-17T08:10:00-06:00,2026-04-29T13:55:00-06:00,swing,all_lanes_zero_pick_research_backfill,all_lanes_zero_pick_current_algo_v1,ineligible,,-51.4299,net_pnl_pct,5.3065,spread_ask_bid,2.59,historical_spread_bid_ask,SELL,historical_backfill_time_exit_elapsed,0,,False,,2026-04-17,70.42,79.6,64.4,73.6145,3.0501,48.6145,3.199,35.3767,research_backfill_not_live_proof
