symbol,earnings_date_et,earnings_time,source_name,source_url_or_file_name,source_published_at_utc,known_at_utc,revision_status,source_calendar_coverage_start_date_et,source_calendar_coverage_end_date_et
CVX,2024-04-26,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/93410/000009341024000017/cvx-20240426.htm,2024-04-26T10:15:56Z,2024-04-26T10:15:56Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
GOOGL,2023-07-25,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000067/goog-20230720.htm,2023-07-25T20:01:21Z,2023-07-25T20:01:21Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
GOOGL,2023-10-24,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000088/goog-20231018.htm,2023-10-24T20:01:23Z,2023-10-24T20:01:23Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
GOOGL,2024-01-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000014/goog-20240130.htm,2024-01-30T21:01:26Z,2024-01-30T21:01:26Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
GOOGL,2024-04-25,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000047/goog-20240425.htm,2024-04-25T20:01:35Z,2024-04-25T20:01:35Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
GOOGL,2024-07-23,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000076/goog-20240723.htm,2024-07-23T20:01:54Z,2024-07-23T20:01:54Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2021-10-19,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040621000067/jnj-20211019.htm,2021-10-19T12:01:28Z,2021-10-19T12:01:28Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2022-01-25,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040622000012/jnj-20220125.htm,2022-01-25T13:00:34Z,2022-01-25T13:00:34Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2022-04-19,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040622000038/jnj-20220419.htm,2022-04-19T11:56:38Z,2022-04-19T11:56:38Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2022-07-19,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040622000063/jnj-20220719.htm,2022-07-19T11:59:43Z,2022-07-19T11:59:43Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2022-10-18,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040622000081/jnj-20221018.htm,2022-10-18T11:54:56Z,2022-10-18T11:54:56Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2023-01-24,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040623000005/jnj-20230124.htm,2023-01-24T12:44:10Z,2023-01-24T12:44:10Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2023-04-18,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040623000043/jnj-20230418.htm,2023-04-18T11:29:50Z,2023-04-18T11:29:50Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2023-07-20,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040623000073/jnj-20230720.htm,2023-07-20T11:15:55Z,2023-07-20T11:15:55Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2023-08-30,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040623000091/jnj-20230830.htm,2023-08-30T11:46:49Z,2023-08-30T11:46:49Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2023-10-17,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040623000094/jnj-20231017.htm,2023-10-17T11:33:25Z,2023-10-17T11:33:25Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
JNJ,2024-01-23,unknown,sec_edgar_8k_item_2_02,https://www.sec.gov/Archives/edgar/data/200406/000020040624000004/jnj-20240123.htm,2024-01-23T12:45:37Z,2024-01-23T12:45:37Z,sec_8-k_item_2_02,2021-10-01,2024-07-31
