symbol,bar_date,open,high,low,close,adjustment_policy,volume,vendor,source,source_event_date,published_at_utc,known_at_utc,fetched_at_utc,adjustment_mode,corporate_action_basis,source_url_or_file_name,provenance_id,source_quality
NEM,2024-12-24,38.200000,38.320000,37.870000,38.310000,raw_unadjusted_alpaca_sip_daily_bar,3549324,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-12-24,2024-12-24T21:15:00Z,2024-12-24T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2024-12-24,trusted
NEM,2024-12-26,38.310000,38.610000,38.090000,38.090000,raw_unadjusted_alpaca_sip_daily_bar,5901487,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-12-26,2024-12-26T21:15:00Z,2024-12-26T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2024-12-26,trusted
NEM,2024-12-27,37.610000,38.220000,37.510000,37.840000,raw_unadjusted_alpaca_sip_daily_bar,5456418,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-12-27,2024-12-27T21:15:00Z,2024-12-27T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2024-12-27,trusted
NEM,2024-12-30,37.420000,37.500000,36.860000,37.000000,raw_unadjusted_alpaca_sip_daily_bar,7507799,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-12-30,2024-12-30T21:15:00Z,2024-12-30T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2024-12-30,trusted
NEM,2024-12-31,37.000000,37.390000,36.860000,37.220000,raw_unadjusted_alpaca_sip_daily_bar,9342554,Alpaca Markets SIP,alpaca_sip_stock_bars,2024-12-31,2024-12-31T21:15:00Z,2024-12-31T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2024-12-31,trusted
NEM,2025-01-02,38.060000,38.850000,37.890000,38.370000,raw_unadjusted_alpaca_sip_daily_bar,8296162,Alpaca Markets SIP,alpaca_sip_stock_bars,2025-01-02,2025-01-02T21:15:00Z,2025-01-02T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2025-01-02,trusted
NEM,2025-01-03,38.410000,38.490000,38.020300,38.110000,raw_unadjusted_alpaca_sip_daily_bar,6262196,Alpaca Markets SIP,alpaca_sip_stock_bars,2025-01-03,2025-01-03T21:15:00Z,2025-01-03T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2025-01-03,trusted
NEM,2025-01-06,38.070000,38.300000,37.680000,37.790000,raw_unadjusted_alpaca_sip_daily_bar,8146612,Alpaca Markets SIP,alpaca_sip_stock_bars,2025-01-06,2025-01-06T21:15:00Z,2025-01-06T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2025-01-06,trusted
NEM,2025-01-07,38.250000,38.954000,37.844000,38.160000,raw_unadjusted_alpaca_sip_daily_bar,7585184,Alpaca Markets SIP,alpaca_sip_stock_bars,2025-01-07,2025-01-07T21:15:00Z,2025-01-07T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2025-01-07,trusted
NEM,2025-01-08,38.200000,39.150000,38.110000,39.130000,raw_unadjusted_alpaca_sip_daily_bar,8320350,Alpaca Markets SIP,alpaca_sip_stock_bars,2025-01-08,2025-01-08T21:15:00Z,2025-01-08T21:15:00Z,2026-06-27T17:37:03Z,raw_unadjusted,alpaca_sip_raw_daily_bars_no_adjustment,https://data.alpaca.markets/v2/stocks/bars,alpaca_sip_stock_bars:NEM:2025-01-08,trusted
